40,6496,1,0
40,6496,1,1
40,7481,1,0
40,7481,1,1
40,7751,1,0
40,7751,1,1
40,8064,1,0
40,8064,1,1
40,8247,1,0
40,8247,1,1
40,8273,1,0
40,8273,1,1
40,8273,1,2
40,9496,1,0
40,9496,1,1
40,10315,1,0
40,10315,1,1
40,11987,1,0
40,11987,1,1
40,12743,1,0
40,12743,1,1
40,13237,1,0
40,14124,1,1
40,15479,1,0
40,16334,1,0
40,16334,1,1
40,18354,1,0
40,21225,1,0
89,10237,1,0
89,10237,1,1
89,11610,1,0
89,11610,1,1
89,12137,1,0
89,12137,1,1
89,12951,1,0
89,12951,1,1
89,16474,1,0
89,16474,1,1
108,19054,1,0
108,19054,1,1
161,9295,1,0
161,9295,1,2
161,21917,1,0
161,21917,1,2
267,9116,1,0
267,11771,1,0
267,13526,1,0
267,14069,1,0
267,14069,1,2
267,14986,1,0
267,14986,1,2
267,18341,1,0
267,18341,1,2
301,6317,1,0
301,6317,1,1
301,6826,1,0
301,6826,1,1
301,6996,1,0
301,7179,1,0
301,7179,1,1
301,8267,1,0
301,8844,1,0
301,8844,1,1
301,8860,1,0
301,8860,1,1
301,9781,1,0
301,9781,1,1
301,9803,1,0
301,9803,1,1
301,10210,1,0
301,10210,1,1
301,10505,1,0
301,10505,1,1
301,11401,1,0
301,12322,1,0
301,12322,1,1
301,12334,1,0
301,12350,1,0
301,12350,1,1
301,12404,1,0
301,12404,1,1
301,12908,1,0
301,12908,1,1
301,14044,1,0
301,14651,1,0
301,14651,1,1
301,15573,1,0
301,15578,1,0
301,15578,1,1
301,15717,1,0
301,15717,1,1
301,16320,1,0
301,16320,1,1
301,16759,1,0
301,16759,1,1
301,16910,1,0
301,16910,1,1
301,18436,1,0
301,18436,1,1
301,19072,1,0
301,19072,1,1
301,19615,1,0
301,19615,1,1
301,19699,1,0
301,19699,1,1
301,20061,1,0
301,20061,1,1
301,20080,1,0
301,20080,1,1
301,20780,1,0
301,20780,1,1
301,20928,1,0
521,15686,1,0
521,22096,1,0
521,22096,1,2
521,22103,1,0
521,22103,1,2
521,22195,1,0
521,22195,1,2
521,22341,1,0
