A1KXJ1ELZIU05C,PC,5.0,Ubisoft
A2GPRA9HHLOC4B,PC,4.0,Square Enix
A37AO20OXS51QA,PC,14.0,Square Enix
AWG2O9C42XW5G,Nintendo 64,4.0,Interplay
A1ZPVW0WXNJ3YZ,Nintendo 64,1.0,Interplay
A2QQHIY23PL7H3,Nintendo 64,7.0,Interplay
AWFDFLR1DA23A,Nintendo 64,4.0,Interplay
A3ZP2A2SWNRCB,PlayStation,4.0,Acclaim
A2582KMXLK2P06,PlayStation,39.0,Capcom
A2KVUYPLEW4LXT,PlayStation,15.0,Playstation
A119Q9NFGVOEJZ,PlayStation,35.0,Capcom
AQMWZIH22R6LE,PlayStation,27.0,Capcom
A38AXXL7DMVFMQ,PlayStation,9.0,Capcom
A2YAABMT80RLYA,PlayStation,8.0,Capcom
AJKWF4W7QD4NS,PlayStation,14.0,Capcom
AWG2O9C42XW5G,PlayStation,10.0,Square Enix
A2582KMXLK2P06,PlayStation,1.0,Unknown
AAQ75C4BJUQLO,PlayStation,9.0,Atlus
A1PN2U0AWXGVML,PC,5.0,Atari
A38TA13FXZC7V0,PC,40.0,Atari
AWG2O9C42XW5G,Nintendo 64,68.0,Nintendo
A1ZPVW0WXNJ3YZ,Nintendo 64,32.0,Nintendo
AQAMD65HGUGMO,Nintendo 64,14.0,Nintendo
A74TA8X5YQ7NE,PC,10.0,LucasArts
AVMNNN989FKDC,PC,7.0,LucasArts
A233JF1T2IIBLT,PC,5.0,Square Enix
A233JF1T2IIBLT,PC,25.0,LucasArts
A243HY69GIAHFI,PC,15.0,LucasArts
A3N1V8LIFT0RU6,PC,6.0,LucasArts
A119Q9NFGVOEJZ,Nintendo 64,80.0,Nintendo
A2582KMXLK2P06,Nintendo 64,21.0,Nintendo
A18AQ3EFPYBKH0,PC,15.0,Electronic Arts
A24JQTKGA5RAKX,Nintendo 64,5.0,Nintendo
A2QQHIY23PL7H3,Nintendo 64,65.0,Nintendo
AD0J5KK4WQXNS,Nintendo 64,20.0,Nintendo
AZ9JWGE1UGKZA,Nintendo 64,4.0,Acclaim
A3GKMQFL05Z79K,Nintendo 64,10.0,Acclaim
A2TCG2HV1VJP6V,Nintendo 64,45.0,Nintendo
A2OR09N5HH20PY,Nintendo 64,5.0,Nintendo
ANAYSRE3LX8GZ,Nintendo 64,23.0,Nintendo
A3W4D8XOGLWUN5,Nintendo 64,42.0,Nintendo
AOYQR2530QCDX,Nintendo 64,25.0,Nintendo
A1X4JO8EJ1U5BR,Nintendo 64,12.0,Nintendo
A3BC8YL69NOCUP,Nintendo 64,5.0,Nintendo
A3PASG15BRR40D,Nintendo 64,4.0,Nintendo
A1AISPOIIHTHXX,Nintendo 64,12.0,Nintendo
A2R4HK5ZJKL0UH,Nintendo 64,5.0,Nintendo
A16WKPOSEGQC3Y,PC,3.0,Vivendi Universal
A1TK6R2JSC97HL,PC,8.0,Vivendi Universal
AKBH21PTTCWVJ,PC,12.0,Vivendi Universal
A20DZX38KRBIT8,Nintendo 64,5.0,THQ
ANAYSRE3LX8GZ,Nintendo 64,14.0,THQ
A2GBBDNZLYC4A9,Nintendo 64,5.0,THQ
ANAYSRE3LX8GZ,PlayStation,1.0,Rockstar Games
AY3Y9ROK6LRPI,PlayStation,6.0,Rockstar Games
AQI2CW6UKF1ES,PlayStation,4.0,Rockstar Games
AJKWF4W7QD4NS,PlayStation,4.0,Rockstar Games
A3RHWM5NKPTY9J,PlayStation,23.0,Rockstar Games
A36UKFV79879MD,Nintendo 64,51.0,Nintendo
A2A0FBLKJN4ZY5,Nintendo 64,5.0,Nintendo
A20DZX38KRBIT8,Nintendo 64,1.0,Nintendo
AQMWZIH22R6LE,Nintendo 64,8.0,Nintendo
A37HCSGGRH8UO6,Nintendo 64,5.0,Nintendo
AUDSM2CTLLW1Q,Nintendo 64,5.0,Nintendo
A11LS12ZU93SV6,Nintendo 64,13.0,Nintendo
A2GBBDNZLYC4A9,Nintendo 64,34.0,Nintendo
A2NU3IJYTDIPCI,PC,4.0,Electronic Arts
A119Q9NFGVOEJZ,Nintendo 64,25.0,Konami
A3GKMQFL05Z79K,Nintendo 64,5.0,Konami
A2YAABMT80RLYA,Nintendo 64,4.0,Konami
A3J8ABVGK7ZL6H,PlayStation,13.0,Midway
